pie,census.year,Gender,mean_empin.roundedVals
16,2006,Men,13.04
16,2011,Men,15.12
16,2016,Men,15.68
16,2021,Men,17.4
17,2001,Men,14
17,2006,Men,13.48
17,2011,Men,15.64
17,2016,Men,16.2
17,2021,Men,17.92
18,2001,Men,14.4
18,2006,Men,13.92
18,2011,Men,16.08
18,2016,Men,16.68
18,2021,Men,18.4
19,2001,Men,14.68
19,2006,Men,14.36
19,2011,Men,16.52
19,2016,Men,17.16
19,2021,Men,18.88
20,2001,Men,15.12
20,2006,Men,14.8
20,2011,Men,16.96
20,2016,Men,17.6
20,2021,Men,19.36
21,2001,Men,15.48
21,2006,Men,15.2
21,2011,Men,17.4
21,2016,Men,18.04
21,2021,Men,19.84
22,2001,Men,15.84
22,2006,Men,15.64
22,2011,Men,17.8
22,2016,Men,18.48
22,2021,Men,20.24
23,2001,Men,16.2
23,2006,Men,16.04
23,2011,Men,18.2
23,2016,Men,18.92
23,2021,Men,20.64
24,2001,Men,16.6
24,2006,Men,16.4
24,2011,Men,18.6
24,2016,Men,19.32
24,2021,Men,21.04
25,2001,Men,16.88
25,2006,Men,16.8
25,2011,Men,19
25,2016,Men,19.72
25,2021,Men,21.44
26,2001,Men,17.24
26,2006,Men,17.16
26,2011,Men,19.4
26,2016,Men,20.16
26,2021,Men,21.84
27,2001,Men,17.6
27,2006,Men,17.48
27,2011,Men,19.76
27,2016,Men,20.56
27,2021,Men,22.2
28,2001,Men,17.96
28,2006,Men,17.88
28,2011,Men,20.16
28,2016,Men,20.96
28,2021,Men,22.6
29,2001,Men,18.32
29,2006,Men,18.24
29,2011,Men,20.52
29,2016,Men,21.36
29,2021,Men,23
30,2001,Men,18.72
30,2006,Men,18.6
30,2011,Men,20.92
30,2016,Men,21.76
30,2021,Men,23.36
31,2001,Men,19.12
31,2006,Men,18.96
31,2011,Men,21.28
31,2016,Men,22.12
31,2021,Men,23.76
32,2001,Men,19.24
32,2006,Men,19.32
32,2011,Men,21.6
32,2016,Men,22.52
32,2021,Men,24.12
33,2001,Men,19.44
33,2006,Men,19.68
33,2011,Men,22
33,2016,Men,22.92
33,2021,Men,24.48
34,2001,Men,19.88
34,2006,Men,20.04
34,2011,Men,22.36
34,2016,Men,23.28
34,2021,Men,24.84
35,2001,Men,20.16
35,2006,Men,20.4
35,2011,Men,22.72
35,2016,Men,23.68
35,2021,Men,25.2
36,2001,Men,20.52
36,2006,Men,20.72
36,2011,Men,23.08
36,2016,Men,24.04
36,2021,Men,25.56
37,2001,Men,20.88
37,2006,Men,21.08
37,2011,Men,23.44
37,2016,Men,24.4
37,2021,Men,25.9
38,2001,Men,21.2
38,2006,Men,21.44
38,2011,Men,23.76
38,2016,Men,24.8
38,2021,Men,26.3
39,2001,Men,21.56
39,2006,Men,21.72
39,2011,Men,24.08
39,2016,Men,25.16
39,2021,Men,26.65
40,2001,Men,21.8
40,2006,Men,22.08
40,2011,Men,24.44
40,2016,Men,25.52
40,2021,Men,27
41,2001,Men,22.16
41,2006,Men,22.44
41,2011,Men,24.8
41,2016,Men,25.9
41,2021,Men,27.35
42,2001,Men,22.52
42,2006,Men,22.76
42,2011,Men,25.16
42,2016,Men,26.25
42,2021,Men,27.7
43,2001,Men,22.88
43,2006,Men,23.16
43,2011,Men,25.52
43,2016,Men,26.65
43,2021,Men,28.05
44,2001,Men,23.12
44,2006,Men,23.52
44,2011,Men,25.8
44,2016,Men,27
44,2021,Men,28.4
45,2001,Men,23.52
45,2006,Men,23.88
45,2011,Men,26.2
45,2016,Men,27.4
45,2021,Men,28.75
46,2001,Men,23.92
46,2006,Men,24.24
46,2011,Men,26.6
46,2016,Men,27.75
46,2021,Men,29.1
47,2001,Men,24.04
47,2006,Men,24.6
47,2011,Men,27
47,2016,Men,28.1
47,2021,Men,29.45
48,2001,Men,24.32
48,2006,Men,24.96
48,2011,Men,27.35
48,2016,Men,28.45
48,2021,Men,29.85
49,2001,Men,24.76
49,2006,Men,25.32
49,2011,Men,27.7
49,2016,Men,28.85
49,2021,Men,30.2
50,2001,Men,25
50,2006,Men,25.7
50,2011,Men,28.05
50,2016,Men,29.2
50,2021,Men,30.55
51,2001,Men,25.24
51,2006,Men,26
51,2011,Men,28.4
51,2016,Men,29.6
51,2021,Men,30.9
52,2001,Men,25.6
52,2006,Men,26.4
52,2011,Men,28.75
52,2016,Men,30
52,2021,Men,31.3
53,2001,Men,26
53,2006,Men,26.75
53,2011,Men,29.1
53,2016,Men,30.35
53,2021,Men,31.65
54,2001,Men,26.35
54,2006,Men,27.05
54,2011,Men,29.5
54,2016,Men,30.75
54,2021,Men,32
55,2001,Men,26.6
55,2006,Men,27.45
55,2011,Men,29.85
55,2016,Men,31.1
55,2021,Men,32.4
56,2001,Men,26.95
56,2006,Men,27.75
56,2011,Men,30.25
56,2016,Men,31.5
56,2021,Men,32.8
57,2001,Men,27.35
57,2006,Men,28.1
57,2011,Men,30.65
57,2016,Men,31.85
57,2021,Men,33.2
58,2001,Men,27.75
58,2006,Men,28.45
58,2011,Men,31.05
58,2016,Men,32.3
58,2021,Men,33.6
59,2001,Men,28.1
59,2006,Men,28.85
59,2011,Men,31.4
59,2016,Men,32.7
59,2021,Men,34
60,2001,Men,28.55
60,2006,Men,29.2
60,2011,Men,31.75
60,2016,Men,33.1
60,2021,Men,34.5
61,2001,Men,28.85
61,2006,Men,29.6
61,2011,Men,32.2
61,2016,Men,33.5
61,2021,Men,34.9
62,2001,Men,28.95
62,2006,Men,30
62,2011,Men,32.6
62,2016,Men,34
62,2021,Men,35.3
63,2001,Men,29.4
63,2006,Men,30.35
63,2011,Men,33.1
63,2016,Men,34.4
63,2021,Men,35.8
64,2001,Men,29.9
64,2006,Men,30.8
64,2011,Men,33.5
64,2016,Men,34.8
64,2021,Men,36.2
65,2001,Men,30.25
65,2006,Men,31.2
65,2011,Men,33.9
65,2016,Men,35.3
65,2021,Men,36.7
66,2001,Men,30.7
66,2006,Men,31.6
66,2011,Men,34.4
66,2016,Men,35.7
66,2021,Men,37.2
67,2001,Men,31.15
67,2006,Men,32
67,2011,Men,34.9
67,2016,Men,36.2
67,2021,Men,37.7
68,2001,Men,31.35
68,2006,Men,32.4
68,2011,Men,35.4
68,2016,Men,36.7
68,2021,Men,38.2
69,2001,Men,31.95
69,2006,Men,32.9
69,2011,Men,35.9
69,2016,Men,37.2
69,2021,Men,38.7
70,2001,Men,32.4
70,2006,Men,33.4
70,2011,Men,36.4
70,2016,Men,37.7
70,2021,Men,39.2
71,2001,Men,32.9
71,2006,Men,33.8
71,2011,Men,36.9
71,2016,Men,38.3
71,2021,Men,39.8
72,2001,Men,33.4
72,2006,Men,34.3
72,2011,Men,37.4
72,2016,Men,38.8
72,2021,Men,40.4
73,2001,Men,33.7
73,2006,Men,34.7
73,2011,Men,37.9
73,2016,Men,39.4
73,2021,Men,40.9
74,2001,Men,34.2
74,2006,Men,35.3
74,2011,Men,38.5
74,2016,Men,40
74,2021,Men,41.6
75,2001,Men,34.7
75,2006,Men,35.8
75,2011,Men,39.2
75,2016,Men,40.6
75,2021,Men,42.2
76,2001,Men,35.3
76,2006,Men,36.3
76,2011,Men,39.7
76,2016,Men,41.3
76,2021,Men,42.9
77,2001,Men,35.9
77,2006,Men,36.9
77,2011,Men,40.3
77,2016,Men,41.9
77,2021,Men,43.6
78,2001,Men,36.4
78,2006,Men,37.5
78,2011,Men,41
78,2016,Men,42.6
78,2021,Men,44.4
79,2001,Men,37.2
79,2006,Men,38.1
79,2011,Men,41.7
79,2016,Men,43.4
79,2021,Men,45.2
80,2001,Men,37.9
80,2006,Men,38.7
80,2011,Men,42.5
