name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Report writing software,Technologies,Word processing software,16,119.97335932378607,1,0.0022521412937144144,Workforce digital skills
Reporting Skills,Occupational Skills,Business analysis,611,154.82088941099335,0,0.0860036456537192,NA
Reporting software,Technologies,Data base reporting software,319,132.78902215513511,1,0.04490206704343114,Workforce digital skills
Reports preparation,Occupational Skills,Analysis and research,84986,196.48425745210088,0,11.962529999225827,NA
Requirements Analysis,Occupational Skills,Business analysis,5737,76.136118974361,0,0.8075334126274748,Software/Product Development skills
Requirements analysis software,Technologies,Requirements analysis and system architecture software,5,52.39594495848187,1,7.037941542857545e-4,Software/Product Development skills
Requirements management software,Technologies,Requirements analysis and system architecture software,10,218.1421108798646,1,0.001407588308571509,Workforce digital skills
Research Skills,Occupational Skills,Analysis and research,13091,144.37697419855263,0,1.8426738547509627,NA
Reservation software,Technologies,Data base user interface and query software,40,181.15724497193355,1,0.005630353234286036,Workforce digital skills
ReServe Interactive,Technologies,Project management software,1,94.0732336034332,1,1.407588308571509e-4,NA
Resistance bands,Tools and Equipment,Miscellaneous or unclassified,2,238.73356514192702,0,2.815176617143018e-4,NA
Resistance spot welding (RSW),Occupational Skills,Manufacturing,157,396.8907761358221,0,0.02209913644457269,NA
Resistance temperature detectors,Tools and Equipment,Miscellaneous or unclassified,1,82.4600679320505,0,1.407588308571509e-4,NA
Resistance testers,Tools and Equipment,Miscellaneous or unclassified,5,127.42613305868055,0,7.037941542857545e-4,Industrial Modelling and Geospatial Software skills
Resistance welding and submerged arc welding,Occupational Skills,Manufacturing,202,384.66577077723633,0,0.028433283833144484,NA
Resistivity meters,Tools and Equipment,Miscellaneous or unclassified,1,99.7858472597028,0,1.407588308571509e-4,NA
Resource management software,Technologies,Mobile location based services software,48,155.56607595080797,1,0.006756423881143243,Workforce digital skills
Resource planning software,Technologies,Enterprise resource planning ERP software,43,126.71801554026955,1,0.006052629726857489,Workforce digital skills
Respirators,Tools and Equipment,Medical and dental,146,306.238600788115,0,0.02055078930514403,NA
Respiratory protection equipment,Tools and Equipment,Miscellaneous or unclassified,11,183.07165361839736,0,0.0015483471394286599,NA
Responsive Web Design (RWD),Technologies,Object or component oriented development software,163,128.9302682054958,1,0.022943689429715596,Software/Product Development skills
