name,groupName,subGroupName,count,m,score,digital_assign,pct,lv.mod
ANSYS,Technologies,Analytical or scientific software,1,88.5817039218096,102.1745110667491,1,0.0012168855032429998,Industrial Modelling and Geospatial Software skills
Anti-Money Laundering,Occupational Skills,Banking and insurance,1,NA,133.43523751601853,0,0.0012168855032429998,NA
Antivirus software,Technologies,Transaction security and virus protection software,1,5.38461538461538,50.963190533475796,1,0.0012168855032429998,Cybersecurity and System Infrastructure skills
Apache Hadoop,Technologies,Data base management system software,5,46.68118358341813,27.948929893512208,1,0.0060844275162149995,Software/Product Development skills
Apache Jmeter,Technologies,Object or component oriented development software,6,11.781121085692854,19.66987259528218,1,0.007301313019458,Software/Product Development skills
Apache Kafka,Technologies,Development environment software,3,29.8117580358175,19.275245212849526,1,0.003650656509729,Software/Product Development skills
Apache Pig,Technologies,Data base management system software,1,3.34883720930233,33.27354867509155,1,0.0012168855032429998,Software/Product Development skills
Apache Spark,Technologies,Object or component oriented development software,1,NA,19.485331672551915,1,0.0012168855032429998,Software/Product Development skills
Apache Tomcat,Technologies,Web platform development software,5,20.694308499341446,20.707296011371483,1,0.0060844275162149995,Software/Product Development skills
APL (A programming language),Technologies,Object or component oriented development software,7,86.49728210538244,50.608198052540786,1,0.008518198522700998,Software/Product Development skills
Apple Mac OS X,Technologies,Operating system software,15,164.87057608318534,81.37118834843281,1,0.018253282548644997,Cybersecurity and System Infrastructure skills
Apple Macintosh OS,Technologies,Operating system software,1,NA,31.7330803479176,1,0.0012168855032429998,Cybersecurity and System Infrastructure skills
Apple macOS,Technologies,Operating system software,7,15.21097190325686,16.535203872925827,1,0.008518198522700998,Cybersecurity and System Infrastructure skills
Apple Pages,Technologies,Word processing software,2,NA,85.97458172118921,1,0.0024337710064859996,Design and Marketing skills
Apple Safari,Technologies,Internet browser software,3,113.436814960809,113.436814960809,1,0.003650656509729,Software/Product Development skills
Applicant tracking software,Technologies,Human resources software,2,196.7750064329845,188.63783835975326,1,0.0024337710064859996,Workforce digital skills
Application server software,Technologies,Application server software,1,13.125,20.99039180464389,1,0.0012168855032429998,Software/Product Development skills
Application servers,Technologies,Operating system software,20,39.841253350006724,36.28976367409353,1,0.024337710064859998,Software/Product Development skills
Arabic language,Social-Emotional Skills,Languages,81,162.84182790860993,206.84084452595903,0,0.098567725762683,NA
Articulate Storyline,Technologies,Computer based training software,9,92.15814428826981,96.30614547700137,1,0.010951969529186999,Design and Marketing skills
Artificial Intelligence (AI),Technologies,Artificial Intelligence,1048,181.6716055291372,146.8874113825994,1,1.2752960073986639,Software/Product Development skills
Artificial intelligence software,Technologies,Industrial control software,7,62.38916738063063,75.08604436401824,1,0.008518198522700998,Software/Product Development skills
ASIC (Application-specific integrated circuit),Technologies,Computer Hardware,13,437.623991059783,233.52482101018282,1,0.015819511542159,Software/Product Development skills
Assessment software,Technologies,Analytical or scientific software,4,123.704788117662,104.75667430724702,1,0.004867542012971999,Industrial Modelling and Geospatial Software skills
Asset Management,Occupational Skills,Business planning and operations,44,119.72849837161729,127.14729445268729,0,0.053542962142692,NA
Asset management software,Technologies,Inventory management software,7,111.4720890914143,137.92666889622828,1,0.008518198522700998,Workforce digital skills
Atlassian Confluence,Technologies,Project management software,118,143.60578712650278,69.04080568768256,1,0.143592489382674,Software/Product Development skills
Atlassian JIRA,Technologies,Content workflow software,78,96.00315172021895,58.945043609778324,1,0.094917069252954,Software/Product Development skills
Attention to Detail,Social-Emotional Skills,Personal qualities,7426,183.7466505813306,232.98562646040637,0,9.036591747082518,NA
Audacity,Technologies,Music or sound editing software,5,88.5817039218096,127.42346890205044,1,0.0060844275162149995,Design and Marketing skills
Audio amplifiers,Tools and Equipment,Miscellaneous or unclassified,1,94.0732336034332,56.64474809953553,1,0.0012168855032429998,Cybersecurity and System Infrastructure skills
Audio editing software,Technologies,Music or sound editing software,2,NA,86.32149573456103,1,0.0024337710064859996,Design and Marketing skills
Audio recorders,Tools and Equipment,Miscellaneous or unclassified,1,66.6182755150462,84.05311725529096,0,0.0012168855032429998,Design and Marketing skills
Audiometers,Tools and Equipment,Miscellaneous or unclassified,5,116.207161878975,141.75413670254596,0,0.0060844275162149995,NA
Auditing,Occupational Skills,Corporate finance and accounting,352,165.43799502965922,149.9962682121547,0,0.428343697141536,NA
Auditing software,Technologies,Financial analysis software,1,47.9283004780142,147.15942217104404,1,0.0012168855032429998,Industrial Modelling and Geospatial Software skills
Augers,Tools and Equipment,Building and facilities,1,424.391427037777,343.0413525507712,0,0.0012168855032429998,NA
Augmentative communication systems,Tools and Equipment,Miscellaneous or unclassified,27,161.2753285513416,167.13531824748836,0,0.032855908587560996,NA
Augmented Reality,Technologies,Graphics or photo imaging software,23,98.50262812421047,116.99665257430239,1,0.027988366574589,Design and Marketing skills
